streamDictionary.streamName,streamDictionary.streamSrc,latitude,longitude
I-40 & Agnew N,https://stream.oktraffic.org/delay-stream/52c08b507c132935.stream/playlist.m3u8,35.461126,-97.55554
I-40 & Agnew E,https://stream.oktraffic.org/delay-stream/c6d6467368d683ee.stream/playlist.m3u8,35.461126,-97.55554
I-40 & Agnew S,https://stream.oktraffic.org/delay-stream/c0c9952843ab8a30.stream/playlist.m3u8,35.461126,-97.55554
I-40 & Penn W,https://stream.oktraffic.org/delay-stream/1daa5eba31d1b44f.stream/playlist.m3u8,35.461465,-97.546838
I-40 & Penn,https://stream.oktraffic.org/delay-stream/113334a05cda2b28.stream/playlist.m3u8,35.461465,-97.546838
I-40 & Western W,https://stream.oktraffic.org/delay-stream/4eca635c938336ac.stream/playlist.m3u8,35.458261,-97.531872
I-40 & Western E,https://stream.oktraffic.org/delay-stream/fec374c1d676eccd.stream/playlist.m3u8,35.458261,-97.531872
I-35 & N12th N,https://stream.oktraffic.org/delay-stream/7c63c0e989e6b4f4.stream/playlist.m3u8,35.34903757,-97.49519134
I-35 & N12th S,https://stream.oktraffic.org/delay-stream/8104546d69f57ba9.stream/playlist.m3u8,35.34903757,-97.49519134
I-35 & N12th W,https://stream.oktraffic.org/delay-stream/173118b272df96e7.stream/playlist.m3u8,35.34903757,-97.49519134
I-35 & N27th N,https://stream.oktraffic.org/delay-stream/ded9c8f4de0f997b.stream/playlist.m3u8,35.36284253,-97.49503711
I-35 & N27th E,https://stream.oktraffic.org/delay-stream/786955f80e59d724.stream/playlist.m3u8,35.36284253,-97.49503711
I-35 & N27th W,https://stream.oktraffic.org/delay-stream/0c6e310191170fc9.stream/playlist.m3u8,35.36284253,-97.49503711
I-35 & N27th,https://stream.oktraffic.org/delay-stream/8b9519ccc2b031dc.stream/playlist.m3u8,35.36284253,-97.49503711
I-35 & S89th N,https://stream.oktraffic.org/delay-stream/2dc86c53c799b9e0.stream/playlist.m3u8,35.37616664,-97.49522554
I-35 & S89th S,https://stream.oktraffic.org/delay-stream/3c52c11ec2e0788e.stream/playlist.m3u8,35.37616664,-97.49522554
I-35 & I-240 N,https://stream.oktraffic.org/delay-stream/7189d0f8fb310b3a.stream/playlist.m3u8,35.39194957,-97.49464618
I-35 & I-240 E,https://stream.oktraffic.org/delay-stream/0c0f1e28b99acde3.stream/playlist.m3u8,35.39194957,-97.49464618
I-35 & I-240 W,https://stream.oktraffic.org/delay-stream/269a4f5caa5d7b50.stream/playlist.m3u8,35.39194957,-97.49464618
I-35 & S59th S,https://stream.oktraffic.org/delay-stream/5e50d025bd74ce9a.stream/playlist.m3u8,35.40679572,-97.49404
I-35 & S59th N,https://stream.oktraffic.org/delay-stream/625ef5c1082a58c6.stream/playlist.m3u8,35.40679572,-97.49404
I-35 & S36th S,https://stream.oktraffic.org/delay-stream/aeba2a9d3ab710ae.stream/playlist.m3u8,35.427937,-97.485684
I-35 & S36th,https://stream.oktraffic.org/delay-stream/02afda84e95b3390.stream/playlist.m3u8,35.427937,-97.485684
I-35 & S29th N,https://stream.oktraffic.org/delay-stream/1d2ad53749250f4d.stream/playlist.m3u8,35.435499,-97.485824
I-35 & S29th W,https://stream.oktraffic.org/delay-stream/b5c441374b4ac159.stream/playlist.m3u8,35.435499,-97.485824
I-35 & S29th S,https://stream.oktraffic.org/delay-stream/81efd9142e579921.stream/playlist.m3u8,35.435499,-97.485824
I-35 & S29th,https://stream.oktraffic.org/delay-stream/75393abdf15e0b95.stream/playlist.m3u8,35.435499,-97.485824
I-40 & I-35 E,https://stream.oktraffic.org/delay-stream/1a0e8ff163868976.stream/playlist.m3u8,35.462333,-97.490531
I-40 & I-35 SW,https://stream.oktraffic.org/delay-stream/f1e2836cda403538.stream/playlist.m3u8,35.462333,-97.490531
I-40 & Shields N,https://stream.oktraffic.org/delay-stream/2ef6f4aa89766739.stream/playlist.m3u8,35.455475,-97.514
I-40 & Shields S,https://stream.oktraffic.org/delay-stream/f4c9a88ef928beaf.stream/playlist.m3u8,35.455475,-97.514
I-40 & Shields E,https://stream.oktraffic.org/delay-stream/440d47956646fc01.stream/playlist.m3u8,35.455475,-97.514
I-40 & Shields W,https://stream.oktraffic.org/delay-stream/c0b84079de118c22.stream/playlist.m3u8,35.455475,-97.514
I-40 & Reno N,https://stream.oktraffic.org/delay-stream/8b96dd6f69be9376.stream/playlist.m3u8,35.463533,-97.461758
I-40 & Reno NW,https://stream.oktraffic.org/delay-stream/3b02b969ee1fa894.stream/playlist.m3u8,35.463533,-97.461758
I-40 & Reno SE,https://stream.oktraffic.org/delay-stream/ea7000924415621b.stream/playlist.m3u8,35.463533,-97.461758
I-40 & Reno,https://stream.oktraffic.org/delay-stream/18c829aaddd29be4.stream/playlist.m3u8,35.463533,-97.461758
I-40 & S29th NW,https://stream.oktraffic.org/delay-stream/d4b550f212bc0ac2.stream/playlist.m3u8,35.43517,-97.40991
I-40 & S29th E,https://stream.oktraffic.org/delay-stream/60d2f2c4893b94e8.stream/playlist.m3u8,35.43517,-97.40991
I-40 & S29th,https://stream.oktraffic.org/delay-stream/eb0440e2a20897dd.stream/playlist.m3u8,35.43517,-97.40991
I-40 & Air Depot N,https://stream.oktraffic.org/delay-stream/c6a8fc4e9c31a348.stream/playlist.m3u8,35.43441,-97.40589
I-40 & Air Depot S,https://stream.oktraffic.org/delay-stream/b9e473e5966f9040.stream/playlist.m3u8,35.43441,-97.40589
I-40 & Air Depot E,https://stream.oktraffic.org/delay-stream/27e3a781a70048ab.stream/playlist.m3u8,35.43441,-97.40589
I-40 & Air Depot W,https://stream.oktraffic.org/delay-stream/4ca1def3460359af.stream/playlist.m3u8,35.43441,-97.40589
I-40 & Air Depot,https://stream.oktraffic.org/delay-stream/514b0cee5919eac6.stream/playlist.m3u8,35.43441,-97.40589
